POOL_ID,BLOCK_ID,IO_FIX,IS_OLD,SPACE,DATA_SIZE,FIX_COUNT,IS_HASHED,PAGE_TYPE,FLUSH_TYPE,INDEX_NAME,PAGE_STATE,TABLE_NAME,ACCESS_TIME,PAGE_NUMBER,NUMBER_RECORDS,COMPRESSED_SIZE,FREE_PAGE_CLOCK,NEWEST_MODIFICATION,OLDEST_MODIFICATION
0,153,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,278,0,0,0,0,0
0,154,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,279,0,0,0,0,0
0,155,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,280,0,0,0,0,0
0,156,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,281,0,0,0,0,0
0,157,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,282,0,0,0,0,0
0,158,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,283,0,0,0,0,0
0,159,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,284,0,0,0,0,0
0,160,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,285,0,0,0,0,0
0,161,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35386,286,0,0,0,0,0
0,162,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35386,287,0,0,0,0,0
0,163,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35386,288,0,0,0,0,0
0,164,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35386,289,0,0,0,0,0
0,165,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35386,290,0,0,0,0,0
