CHECKSUM,DATA_FREE,NODEGROUP,CHECK_TIME,TABLE_NAME,TABLE_ROWS,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,AVG_ROW_LENGTH,PARTITION_NAME,MAX_DATA_LENGTH,TABLESPACE_NAME,PARTITION_METHOD,PARTITION_COMMENT,SUBPARTITION_NAME,SUBPARTITION_METHOD,PARTITION_EXPRESSION,PARTITION_DESCRIPTION,SUBPARTITION_EXPRESSION,PARTITION_ORDINAL_POSITION,SUBPARTITION_ORDINAL_POSITION
NULL,0,<blank>,NULL,setup_timers,4,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,table_io_waits_summary_by_index_usage,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,table_io_waits_summary_by_table,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,table_lock_waits_summary_by_table,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,threads,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_stages_current,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_stages_history,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_stages_history_long,10000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_stages_summary_by_thread_by_event_name,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_stages_summary_by_account_by_event_name,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_stages_summary_by_user_by_event_name,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_stages_summary_by_host_by_event_name,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_stages_summary_global_by_event_name,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_statements_current,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_statements_history,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_statements_history_long,10000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_statements_summary_by_thread_by_event_name,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_statements_summary_by_account_by_event_name,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
